ATOM FIELD,N/A,Channel Name,N/A,N/A,N/A,N/A,Service Key,Gracenote ID,Light Logo Key,Dark Logo Key,N/A,Logo Style,Enabled,Content Segment,Section Navigation,Classification,Format Type,Rating,Channel Description,Channel Colour,Privacy Restrictions,Advisory ,Experiment,Experiment Variant,titleArt169,keyArt169,
,195,KGWN.2,"Gray Media Group, Inc.",KGWN.2,"Cheyenne-Scottsbluff, WY",,8002265951371706117,52181,skychb_8002265951371706117_darknow,skychb_8002265951371706117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,196,KSAN-TV,"Mission Broadcasting, Inc.",KSAN-TV,San Angelo,In Progress,8184189596544870117,15641,skychb_8184189596544870117_darknow,skychb_8184189596544870117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,197,KCWY-DT*,"Gray Media Group, Inc.",KCWY-DT*,"Casper,-Riverton, WY",In Progress,8305462727655437117,63889,skychb_8305462727655437117_darknow,skychb_8305462727655437117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,198,KMNF-LD,"Gray Media Group, Inc.",KMNF-LD,"Mankato, MN (St. James)",In Progress,6562165096226093117,113286,skychb_6562165096226093117_darknow,skychb_6562165096226093117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,199,WNBD-LD,Cox Media Group,WNBD-LD,"Greenwood-Greenville, MS ",In Progress,7238075735180774117,70173,skychb_7238075735180774117_darknow,skychb_7238075735180774117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,200,KYOU-TV (D2),"Gray Media Group, Inc.",KYOU-TV (D2),"Ottumwa, IA-Kirksville, MO",In Progress,6337643894370168117,91494,skychb_6337643894370168117_darknow,skychb_6337643894370168117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,201,KNPG-LD,News Press & Gazette Company,KNPG-LD,"St. Joseph, MO",In Progress,6621314970570569117,92021,skychb_6621314970570569117_darknow,skychb_6621314970570569117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,202,KTVF,"Gray Media Group, Inc.",KTVF,"Fairbanks, AK",In Progress,7170675978850948117,15434,skychb_7170675978850948117_darknow,skychb_7170675978850948117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,203,KTVH-DT,E.W. Scripps Company ,KTVH-DT,Helena,In Progress,5975957213572042117,54515,skychb_5975957213572042117_darknow,skychb_5975957213572042117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,204,WHIZ-TV,Southeastern Ohio Television System,WHIZ-TV,Zanesville,In Progress,8295398632999167117,11507,skychb_8295398632999167117_darknow,skychb_8295398632999167117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,205,KMOL-LD ,"QueenB Television of Texas, LLC ",KMOL-LD ,"Victoria, TX",In Progress,6372981576475226117,74186,skychb_6372981576475226117_darknow,skychb_6372981576475226117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,206,WWPI,"Gray Media Group, Inc.",WWPI,"Presque Isle, ME (Ft. Kent)",In Progress,7120516657026104117,113583,skychb_7120516657026104117_darknow,skychb_7120516657026104117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,207,KATH-LD  | KSCT-LP ,"Gray Media Group, Inc.",KATH-LD  | KSCT-LP ,"Juneau-Douglas, AK | Sitka, AK",In Progress,5320515165256353117,74625,skychb_5320515165256353117_darknow,skychb_5320515165256353117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,209,KNOP-TV,"Gray Media Group, Inc.",KNOP-TV,"North Platte, NE",In Progress,6683788470133709117,10597,skychb_6683788470133709117_darknow,skychb_6683788470133709117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
